user_id,name,email,signup_date,country
u30000,Aarav Sharma,aarav.sharma0@example.com,2026-02-21,IN
u30001,Aarav Reddy,aarav.reddy1@example.com,2026-07-15,DE
u30002,Diya Gupta,diya.gupta2@example.com,2026-08-23,US
u30003,Sahithi Sharma,sahithi.sharma3@example.com,2026-05-14,IN
u30004,Maya Iyer,maya.iyer4@example.com,2026-07-27,IN
u30005,Diya Gupta,diya.gupta5@example.com,2026-02-26,IN
u30006,Arjun Nair,arjun.nair6@example.com,2026-04-25,SG
u30007,Sahithi Rao,sahithi.rao7@example.com,2026-07-10,US
u30008,Aarav Das,aarav.das8@example.com,2026-04-23,DE
u30009,Kabir Nair,kabir nair@example.com,2026-01-01,IN
u30010,Arjun Iyer,arjun.iyer10@example.com,2026-02-25,JP
u30011,Diya Reddy,diya.reddy11@example.com,2026-05-21,US
u30012,Arjun Gupta,arjun.gupta12@example.com,2026-05-15,IN
u30013,Diya Iyer,diya.iyer13@example.com,2026-01-28,SG
u30014,Kabir Rao,kabir.rao14@example.com,2026-07-24,IN
u30015,Diya Sharma,diya.sharma15@example.com,2026-01-28,US
u30016,Rohan Rao,rohan.rao16@example.com,2026-06-15,JP
u30017,Maya Reddy,maya.reddy17@example.com,2026-06-27,SG
u30018,Rohan Reddy,rohan.reddy18@example.com,2026-07-13,DE
u30019,Maya Menon,maya.menon19@example.com,2026-08-26,DE
u30020,Rohan Reddy,rohan.reddy20@example.com,2026-03-23,IN
u30021,Rohan Reddy,rohan.reddy21@example.com,2026-07-19,DE
u30022,Arjun Iyer,arjun.iyer22@example.com,2026-07-25,SG
u30023,Aarav Iyer,aarav.iyer23@example.com,2026-08-16,IN
u30024,Isha Das,isha.das24@example.com,2026-01-03,SG
u30025,Kabir Sharma,kabir.sharma25@example.com,2026-09-25,JP
u30026,Sahithi Rao,sahithi.rao26@example.com,2026-09-17,JP
u30027,Diya Menon,diya.menon27@example.com,2026-04-16,SG
u30028,Isha Iyer,isha.iyer28@example.com,2026-09-20,IN
u30029,Aarav Iyer,aarav.iyer29@example.com,2026-09-28,DE
u30030,Arjun Iyer,arjun.iyer30@example.com,2026-02-25,DE
u30031,Kabir Nair,kabir nair@example.com,2026-06-09,IN
u30032,Isha Menon,isha.menon32@example.com,2026-04-03,DE
u30033,Arjun Das,arjun.das33@example.com,2026-02-28,DE
u30034,Arjun Rao,arjun.rao34@example.com,2026-02-16,IN
u30035,Diya Menon,diya.menon35@example.com,2026-07-02,JP
u30036,Aarav Reddy,aarav.reddy36@example.com,2026-05-17,JP
u30037,Sahithi Das,sahithi.das37@example.com,2026-06-12,IN
u30038,Sahithi Das,sahithi.das38@example.com,2026-06-18,JP
u30039,Arjun Rao,arjun.rao39@example.com,2026-08-04,IN
u30040,Sahithi Sharma,sahithi.sharma40@example.com,2026-06-12,SG
u30041,Kabir Reddy,kabir.reddy41@example.com,2026-01-06,DE
u30042,Rohan Menon,rohan.menon42@example.com,2026-02-09,JP
u30043,Sahithi Nair,sahithi.nair43@example.com,2026-02-28,DE
u30044,Sahithi Das,sahithi.das44@example.com,2026-04-23,SG
u30045,Diya Menon,diya.menon45@example.com,2026-01-21,JP
u30046,Diya Das,diya.das46@example.com,2026-08-22,JP
u30047,Rohan Das,rohan.das47@example.com,2026-01-17,IN
u30048,Isha Das,isha.das48@example.com,2026-09-25,US
u30049,Rohan Iyer,rohan.iyer49@example.com,2026-02-13,JP
u30050,Kabir Menon,kabir.menon50@example.com,2026-07-20,US
u30051,Maya Menon,maya.menon51@example.com,2026-06-10,DE
u30052,Rohan Iyer,rohan.iyer52@example.com,2026-07-20,JP
u30053,Maya Rao,maya.rao53@example.com,2026-09-21,US
u30054,Sahithi Nair,sahithi.nair54@example.com,2026-05-22,SG
u30055,Rohan Iyer,rohan.iyer55@example.com,2026-09-18,SG
u30056,Diya Rao,diya.rao56@example.com,2026-09-16,JP
u30057,Isha Gupta,isha.gupta57@example.com,2026-07-26,IN
u30058,Diya Sharma,diya.sharma58@example.com,2026-07-05,IN
u30059,Aarav Nair,aarav.nair59@example.com,2026-05-25,US
u30060,Maya Gupta,maya.gupta60@example.com,2026-03-27,IN
u30061,Maya Nair,maya.nair61@example.com,2026-09-02,SG
u30062,Arjun Reddy,arjun.reddy62@example.com,2026-09-28,US
